neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
South Gate,2012,94727,44%,41589,60%,40%,12919,62%,32%,94727,0%,1%,0%,95%,0%,0%,0%,3%
Elysian Valley,2012,7643,48%,3641,55%,45%,1364,54%,25%,7643,0%,27%,1%,62%,1%,0%,2%,7%
Claremont,2012,38547,18%,6792,33%,67%,4316,52%,25%,38547,0%,13%,5%,21%,0%,0%,3%,58%
Avocado Heights,2012,13616,34%,4678,44%,56%,773,50%,31%,13616,0%,9%,0%,83%,0%,0%,1%,7%
South San Gabriel,2012,8428,44%,3729,32%,68%,684,52%,30%,8428,1%,44%,2%,46%,0%,0%,1%,6%
Northwest Antelope Valley,2012,5240,10%,535,36%,64%,251,49%,16%,5240,1%,6%,2%,18%,0%,1%,2%,70%
Echo Park,2012,34962,45%,15594,59%,41%,9940,52%,27%,34962,0%,17%,2%,56%,0%,0%,1%,22%
Lynwood,2012,68311,40%,27366,65%,35%,7866,66%,36%,68311,0%,1%,8%,88%,0%,0%,0%,3%
Unincorporated Santa Susana Mountains,2012,23311,24%,5585,41%,59%,2453,52%,22%,23311,0%,22%,3%,20%,0%,0%,4%,50%
Shadow Hills,2012,12327,33%,4063,29%,71%,1209,52%,30%,12327,0%,9%,1%,23%,0%,0%,1%,65%
La Habra Heights,2012,8542,20%,1690,25%,75%,226,58%,18%,8542,0%,15%,0%,29%,0%,1%,2%,52%
Covina,2012,53070,22%,11872,42%,58%,6479,52%,27%,53070,0%,11%,3%,55%,0%,0%,2%,29%
Northwest Palmdale,2012,4153,14%,567,31%,69%,179,66%,25%,4153,0%,5%,9%,28%,0%,0%,1%,55%
Sawtelle,2012,39627,35%,13876,51%,49%,14042,45%,24%,39627,0%,23%,3%,24%,0%,0%,4%,47%
Rancho Park,2012,5422,30%,1621,56%,44%,1176,50%,28%,5422,0%,25%,2%,11%,0%,0%,5%,57%
East Los Angeles,2012,125455,43%,53836,71%,29%,20126,58%,32%,125455,0%,1%,0%,98%,0%,0%,0%,1%
Beverlywood,2012,6915,25%,1716,25%,75%,914,63%,39%,6915,0%,9%,3%,7%,0%,1%,3%,77%
Bellflower,2012,76523,30%,22757,52%,48%,14351,56%,29%,76523,0%,11%,14%,54%,0%,0%,1%,20%
Azusa,2012,45361,33%,15174,60%,40%,5099,56%,29%,45361,0%,7%,3%,70%,0%,0%,1%,18%
Del Rey,2012,29112,36%,10352,60%,40%,6594,49%,22%,29112,0%,13%,4%,42%,0%,0%,3%,37%
Mid-Wilshire,2012,41082,33%,13451,52%,48%,15471,51%,28%,41082,0%,23%,17%,19%,0%,0%,5%,36%
North Whittier,2012,7013,21%,1493,28%,72%,475,50%,25%,7013,0%,13%,2%,54%,0%,0%,2%,29%
Beverly Crest,2012,11175,24%,2717,24%,76%,406,32%,19%,11175,0%,5%,1%,6%,0%,0%,3%,85%
Cerritos,2012,49342,44%,21812,25%,75%,3061,57%,27%,49342,0%,61%,7%,12%,0%,1%,3%,16%
West Hills,2012,38510,26%,9922,29%,71%,2018,60%,34%,38510,0%,14%,3%,15%,0%,0%,3%,63%
Vincent,2012,13895,32%,4426,48%,52%,994,48%,21%,13895,0%,8%,3%,72%,0%,0%,1%,16%
Sun Village,2012,1578,22%,354,46%,54%,119,70%,34%,1578,0%,1%,8%,60%,0%,0%,1%,30%
Playa del Rey,2012,11285,19%,2173,37%,63%,3196,45%,23%,11285,0%,12%,7%,13%,0%,0%,3%,64%
Valinda,2012,18628,40%,7372,51%,49%,917,57%,23%,18628,0%,17%,2%,72%,0%,0%,1%,8%
Tujunga,2012,28123,42%,11730,42%,58%,4514,57%,33%,28123,0%,9%,2%,26%,0%,0%,3%,59%
Exposition Park,2012,31609,44%,13877,68%,32%,6664,65%,43%,31609,0%,3%,24%,67%,0%,1%,1%,3%
Eagle Rock,2012,33888,37%,12513,44%,56%,5116,52%,25%,33888,1%,23%,2%,42%,0%,0%,2%,30%
Harbor City,2012,26042,33%,8666,60%,40%,4107,54%,27%,26042,0%,13%,8%,51%,2%,0%,5%,20%
Southeast Antelope Valley,2012,7703,16%,1243,43%,57%,528,59%,30%,7703,1%,4%,5%,31%,0%,0%,2%,57%
Reseda,2012,67337,47%,31812,53%,47%,9894,61%,31%,67337,0%,15%,3%,52%,1%,0%,2%,27%
Willowbrook,2012,33567,29%,9748,72%,28%,4512,63%,39%,33567,0%,0%,37%,60%,0%,1%,1%,2%
Highland Park,2012,52788,41%,21822,58%,42%,9671,54%,29%,52788,0%,10%,2%,73%,0%,0%,2%,14%
Temple City,2012,36574,46%,16870,30%,70%,4382,55%,32%,36574,0%,55%,1%,18%,0%,0%,2%,23%
Westlake Village,2012,7821,13%,1004,21%,79%,493,42%,22%,7821,0%,4%,1%,6%,0%,0%,2%,87%
Pico-Robertson,2012,17704,30%,5358,28%,72%,6015,56%,33%,17704,1%,9%,6%,11%,0%,1%,3%,70%
Monrovia,2012,38116,25%,9698,41%,59%,6705,46%,26%,38116,0%,12%,6%,37%,0%,0%,2%,41%
Broadway-Manchester,2012,26267,35%,9237,75%,25%,4255,74%,51%,26267,0%,0%,32%,65%,0%,0%,1%,1%
Sunland,2012,15960,34%,5386,39%,61%,1652,57%,23%,15960,0%,11%,1%,28%,0%,0%,2%,59%
Agua Dulce,2012,4251,10%,408,15%,85%,120,82%,12%,4251,0%,3%,0%,24%,0%,0%,4%,69%
Malibu,2012,9423,13%,1180,32%,68%,852,55%,34%,9423,0%,3%,2%,7%,0%,0%,3%,85%
Topanga,2012,7423,17%,1258,41%,59%,531,47%,23%,7423,0%,3%,3%,7%,0%,0%,2%,85%
Northeast Antelope Valley,2012,21018,15%,3216,53%,47%,1737,55%,28%,21018,0%,2%,8%,49%,0%,0%,2%,38%
Arleta,2012,33328,50%,16530,54%,46%,2207,59%,30%,33328,0%,11%,1%,79%,0%,0%,1%,8%
Van Nuys,2012,108374,48%,52122,66%,34%,25844,63%,35%,108374,0%,8%,5%,61%,0%,1%,2%,23%
Mar Vista,2012,35753,28%,10080,54%,46%,9479,47%,25%,35753,0%,13%,4%,25%,0%,1%,3%,54%
Valley Glen,2012,57151,47%,27056,54%,46%,12962,62%,35%,57151,0%,5%,4%,44%,0%,0%,2%,44%
Arcadia,2012,60322,47%,28217,32%,68%,7736,48%,26%,60322,0%,55%,1%,14%,0%,0%,2%,27%
Windsor Square,2012,7084,50%,3519,61%,39%,1567,58%,30%,7084,0%,47%,3%,16%,0%,2%,2%,32%
West Puente Valley,2012,19355,38%,7372,48%,52%,1075,56%,30%,19355,0%,8%,1%,84%,0%,0%,0%,7%
Central-Alameda,2012,42229,49%,20741,83%,17%,6565,70%,39%,42229,0%,1%,8%,91%,0%,0%,0%,0%
Arlington Heights,2012,20951,52%,10968,66%,34%,5643,65%,35%,20951,0%,19%,19%,55%,0%,0%,1%,6%
Harvard Heights,2012,18451,58%,10660,69%,31%,4763,63%,36%,18451,0%,22%,10%,61%,0%,0%,1%,5%
Harvard Park,2012,9813,34%,3355,68%,32%,1492,65%,39%,9813,0%,1%,41%,57%,0%,1%,1%,1%
East Hollywood,2012,68165,60%,40968,65%,35%,21162,59%,33%,68165,0%,17%,3%,58%,0%,1%,1%,20%
Lennox,2012,19600,48%,9484,73%,27%,3058,63%,41%,19600,0%,0%,5%,91%,0%,0%,1%,3%
Larchmont,2012,8262,47%,3920,47%,53%,2722,52%,28%,8262,0%,30%,2%,32%,0%,0%,1%,34%
Tarzana,2012,36980,36%,13402,34%,66%,5788,57%,28%,36980,0%,7%,4%,19%,0%,0%,3%,67%
Rolling Hills,2012,2856,21%,590,19%,81%,82,49%,17%,2856,0%,18%,1%,7%,0%,0%,3%,71%
Mid-City,2012,52382,33%,17326,59%,41%,12635,58%,30%,52382,0%,5%,28%,49%,0%,0%,2%,16%
Westchester,2012,41081,18%,7290,36%,64%,7387,48%,26%,41081,0%,11%,16%,16%,0%,0%,3%,52%
Manchester Square,2012,11768,14%,1691,58%,42%,1855,65%,38%,11768,0%,0%,73%,22%,0%,1%,3%,1%
Rowland Heights,2012,43161,56%,24168,43%,57%,4036,60%,36%,43161,0%,60%,1%,27%,0%,0%,1%,11%
Ridge Route,2012,7051,18%,1267,42%,58%,645,50%,27%,7051,0%,6%,5%,23%,0%,0%,3%,63%
South San Jose Hills,2012,19825,40%,7977,64%,36%,1176,47%,20%,19825,0%,8%,1%,85%,0%,0%,0%,6%
Vermont-Slauson,2012,26955,41%,10940,76%,24%,4790,67%,42%,26955,0%,1%,27%,70%,0%,0%,1%,1%
Athens,2012,9318,29%,2687,70%,30%,1378,54%,39%,9318,0%,2%,49%,45%,0%,0%,3%,1%
Mount Washington,2012,14081,33%,4630,54%,46%,1872,61%,40%,14081,0%,12%,2%,55%,0%,0%,2%,28%
West Compton,2012,6314,22%,1368,65%,35%,617,48%,23%,6314,0%,3%,49%,41%,0%,0%,3%,4%
Los Feliz,2012,32423,36%,11798,38%,62%,12538,47%,28%,32423,0%,15%,2%,15%,0%,0%,3%,64%
Chinatown,2012,13091,50%,6568,49%,51%,3003,54%,29%,13091,0%,45%,11%,31%,1%,0%,2%,11%
Century City,2012,5431,29%,1556,27%,73%,1164,40%,22%,5431,0%,13%,2%,5%,1%,2%,2%,75%
Florence-Firestone,2012,60173,42%,25323,75%,25%,8590,63%,38%,60173,0%,0%,9%,89%,0%,0%,0%,1%
University Park,2012,24212,38%,9257,77%,23%,4819,67%,47%,24212,0%,23%,5%,38%,0%,1%,2%,31%
Hollywood Hills West,2012,14911,23%,3403,43%,57%,2918,47%,25%,14911,0%,5%,4%,7%,0%,1%,4%,79%
Unincorporated Santa Monica Mountains,2012,22901,16%,3768,38%,62%,2042,51%,28%,22901,1%,7%,3%,9%,0%,0%,4%,77%
West Los Angeles,2012,11634,30%,3493,32%,68%,3119,50%,32%,11634,0%,17%,2%,9%,1%,1%,3%,67%
Hancock Park,2012,11042,19%,2045,40%,60%,2469,50%,22%,11042,0%,12%,3%,9%,0%,0%,3%,73%
Canoga Park,2012,55047,47%,25606,67%,33%,11525,61%,34%,55047,0%,15%,3%,58%,0%,0%,1%,22%
Chesterfield Square,2012,8436,31%,2580,67%,33%,1378,62%,38%,8436,0%,1%,50%,48%,0%,0%,0%,0%
Hidden Hills,2012,2223,28%,633,20%,80%,186,36%,22%,2223,0%,11%,4%,11%,0%,0%,1%,72%
Norwalk,2012,104877,36%,37658,47%,53%,9234,53%,27%,104877,0%,12%,4%,70%,0%,0%,1%,12%
North El Monte,2012,2477,36%,890,28%,72%,252,54%,17%,2477,0%,36%,1%,36%,0%,0%,1%,26%
Monterey Park,2012,60619,53%,32223,36%,64%,8994,57%,29%,60619,0%,62%,0%,31%,0%,0%,2%,4%
Hollywood,2012,73174,44%,32064,59%,41%,33103,55%,31%,73174,0%,7%,5%,39%,0%,0%,2%,45%
Fairfax,2012,13030,22%,2885,40%,60%,4983,44%,19%,13030,1%,6%,3%,7%,0%,0%,5%,78%
Glassell Park,2012,23400,45%,10453,54%,46%,4289,53%,26%,23400,0%,18%,1%,65%,0%,0%,1%,15%
Watts,2012,39956,33%,13280,75%,25%,6051,66%,39%,39956,0%,0%,24%,74%,0%,1%,0%,1%
La Verne,2012,30934,14%,4376,31%,68%,2748,52%,24%,30934,0%,9%,3%,32%,0%,0%,3%,53%
Rancho Palos Verdes,2012,41444,28%,11630,31%,69%,2959,53%,25%,41444,0%,28%,4%,9%,0%,1%,3%,55%
Green Meadows,2012,33635,33%,10944,76%,24%,4914,72%,46%,33635,0%,0%,33%,64%,0%,0%,0%,1%
Del Aire,2012,9098,29%,2616,39%,61%,1073,49%,22%,9098,0%,11%,7%,52%,0%,0%,1%,28%
Vermont Knolls,2012,21175,34%,7268,81%,19%,4658,68%,46%,21175,0%,1%,38%,58%,0%,0%,1%,1%
Castaic,2012,10725,15%,1564,15%,85%,389,51%,16%,10725,0%,9%,5%,24%,0%,0%,4%,58%
Westwood,2012,53386,27%,14449,47%,53%,12558,58%,41%,53386,0%,26%,3%,10%,0%,0%,4%,57%
Venice,2012,34273,18%,6058,52%,48%,11129,49%,22%,34273,0%,5%,6%,16%,0%,0%,3%,68%
South Diamond Bar,2012,4824,38%,1809,35%,65%,211,62%,26%,4824,0%,52%,4%,16%,0%,2%,1%,23%
Universal City,2012,135,19%,26,38%,62%,28,55%,32%,135,0%,7%,4%,5%,0%,0%,3%,81%
Pacific Palisades,2012,23544,17%,3992,27%,73%,1882,46%,27%,23544,0%,6%,1%,5%,0%,0%,2%,86%
Bel-Air,2012,7399,26%,1923,21%,79%,360,26%,15%,7399,0%,9%,1%,3%,0%,0%,2%,84%
East Pasadena,2012,5396,38%,2057,27%,73%,555,44%,28%,5396,0%,25%,1%,36%,0%,0%,2%,35%
Cudahy,2012,24227,48%,11585,78%,21%,4632,59%,31%,24227,0%,0%,1%,97%,0%,1%,0%,2%
Palos Verdes Estates,2012,13169,20%,2570,25%,75%,595,30%,12%,13169,0%,18%,1%,4%,0%,0%,3%,73%
Ladera Heights,2012,11917,15%,1765,36%,64%,1876,42%,28%,11917,0%,6%,63%,7%,1%,0%,3%,20%
Walnut Park,2012,15893,48%,7568,65%,35%,1683,69%,33%,15893,0%,1%,0%,97%,0%,0%,0%,1%
La Crescenta-Montrose,2012,19684,36%,7179,34%,66%,2355,45%,19%,19684,0%,30%,1%,12%,1%,0%,2%,54%
Gardena,2012,58628,34%,20146,46%,54%,10803,53%,29%,58628,0%,27%,24%,36%,1%,0%,2%,9%
Duarte,2012,21185,34%,7207,44%,56%,2157,55%,27%,21185,0%,16%,7%,45%,0%,0%,2%,29%
La Mirada,2012,48510,25%,12151,34%,66%,2959,59%,34%,48510,0%,19%,2%,40%,0%,0%,2%,36%
Maywood,2012,25840,48%,12282,72%,28%,4523,57%,36%,25840,0%,0%,0%,98%,0%,0%,0%,2%
Alondra Park,2012,8732,35%,3077,54%,46%,1267,63%,35%,8732,0%,15%,12%,49%,2%,0%,1%,21%
Beverly Grove,2012,20826,28%,5893,34%,66%,8612,49%,26%,20826,0%,8%,3%,9%,0%,0%,3%,77%
Vermont Vista,2012,22734,34%,7625,75%,25%,3876,69%,46%,22734,0%,0%,37%,61%,0%,0%,1%,1%
Lawndale,2012,32577,38%,12444,60%,40%,6515,58%,31%,32577,0%,10%,9%,61%,0%,0%,3%,17%
Hyde Park,2012,35779,24%,8498,58%,42%,7552,66%,39%,35779,0%,2%,59%,33%,0%,0%,2%,3%
Lomita,2012,19658,25%,4823,50%,50%,4100,44%,25%,19658,0%,16%,2%,37%,1%,0%,6%,38%
South Pasadena,2012,25464,27%,6823,36%,64%,5424,39%,17%,25464,0%,31%,2%,22%,0%,0%,3%,41%
Westmont,2012,30368,24%,7429,71%,29%,6715,68%,41%,30368,0%,0%,52%,46%,0%,0%,1%,1%
San Pasqual,2012,2148,26%,558,44%,56%,375,23%,10%,2148,0%,23%,5%,12%,0%,0%,1%,59%
West Hollywood,2012,34496,30%,10339,35%,65%,17686,52%,27%,34496,0%,5%,2%,12%,0%,0%,3%,78%
Artesia,2012,16480,48%,7957,49%,51%,2006,51%,29%,16480,0%,36%,4%,36%,0%,0%,2%,22%
Manhattan Beach,2012,35107,10%,3584,29%,71%,4519,36%,18%,35107,0%,8%,1%,9%,0%,0%,4%,79%
West Carson,2012,20617,37%,7684,44%,56%,1800,37%,22%,20617,0%,27%,12%,36%,2%,0%,3%,20%
Hermosa Beach,2012,19477,11%,2163,44%,56%,5020,42%,18%,19477,0%,7%,1%,8%,0%,0%,4%,78%
Carthay,2012,5764,19%,1118,54%,46%,1724,45%,22%,5764,0%,9%,11%,17%,1%,0%,3%,58%
Beverly Hills,2012,34164,37%,12683,29%,71%,8608,50%,26%,34164,0%,5%,3%,5%,0%,0%,3%,84%
El Segundo,2012,16660,13%,2136,50%,50%,4093,34%,16%,16660,0%,5%,1%,19%,1%,0%,4%,69%
View Park-Windsor Hills,2012,10926,8%,846,28%,72%,1383,60%,30%,10926,2%,2%,79%,7%,0%,1%,4%,5%
Sierra Madre,2012,10922,16%,1796,25%,75%,1886,38%,21%,10922,0%,10%,1%,16%,0%,0%,2%,70%
Gramercy Park,2012,9955,10%,966,53%,47%,1460,72%,49%,9955,0%,2%,76%,20%,0%,0%,1%,2%
Aggregated,2012,9801407,35%,3464046,54%,46%,1688669,56%,30%,9801407,0%,14%,8%,48%,0%,0%,2%,28%
Irwindale,2013,1844,25%,455,51%,49%,127,38%,13%,1844,0%,3%,2%,89%,0%,0%,0%,6%
Pico-Union,2013,40266,60%,24112,74%,26%,11171,60%,30%,40266,0%,10%,3%,83%,0%,0%,0%,3%
Glendora,2013,52736,16%,8293,38%,62%,5092,48%,28%,52736,0%,8%,2%,30%,0%,0%,3%,57%
Industry,2013,22683,44%,9933,45%,55%,1735,50%,24%,22683,0%,29%,2%,57%,0%,0%,1%,11%
Sylmar,2013,75071,37%,27929,57%,43%,6126,66%,37%,75071,0%,6%,2%,78%,0%,0%,1%,12%
Torrance,2013,145624,30%,43079,43%,57%,24206,47%,24%,145624,0%,35%,3%,17%,0%,0%,4%,41%
Alhambra,2013,83588,51%,42222,35%,65%,17374,52%,27%,83588,0%,52%,1%,35%,0%,0%,1%,11%
Pico Rivera,2013,64629,33%,21412,50%,50%,5339,58%,29%,64629,0%,3%,1%,91%,0%,0%,0%,5%
Rolling Hills Estates,2013,10217,22%,2238,31%,69%,493,51%,17%,10217,0%,22%,1%,6%,0%,0%,4%,66%
Signal Hill,2013,11480,32%,3729,51%,49%,1979,53%,29%,11480,0%,20%,13%,36%,0%,0%,6%,25%
Hawthorne,2013,88869,34%,30351,56%,44%,21200,53%,27%,88869,0%,7%,23%,54%,1%,1%,2%,12%
North Hills,2013,59079,45%,26632,62%,38%,8052,65%,37%,59079,0%,14%,3%,63%,0%,0%,1%,18%
Hacienda Heights,2013,53824,43%,23063,33%,67%,3367,54%,26%,53824,0%,37%,1%,46%,0%,0%,1%,14%
Harbor Gateway,2013,39241,38%,15035,60%,40%,7092,64%,36%,39241,0%,17%,17%,55%,0%,0%,3%,7%
Lopez/Kagel Canyons,2013,1626,33%,538,60%,40%,102,74%,35%,1626,0%,4%,12%,55%,0%,0%,1%,28%
Citrus,2013,12591,37%,4630,59%,41%,1279,54%,32%,12591,0%,8%,2%,69%,0%,0%,1%,20%
Lake Balboa,2013,26353,34%,9032,42%,58%,2979,63%,33%,26353,0%,8%,4%,44%,0%,0%,3%,40%
Granada Hills,2013,53075,33%,17644,33%,67%,4755,58%,34%,53075,0%,16%,4%,29%,0%,0%,3%,46%
Palms,2013,43790,36%,15943,59%,41%,17475,49%,25%,43790,0%,22%,8%,25%,0%,0%,5%,40%
Santa Monica,2013,89034,23%,20711,41%,59%,32878,47%,24%,89034,0%,10%,4%,14%,0%,0%,4%,68%
Pacoima,2013,75220,44%,33203,69%,31%,7732,64%,37%,75220,0%,2%,4%,90%,0%,0%,0%,3%
Toluca Lake,2013,8832,16%,1429,35%,65%,2606,59%,28%,8832,0%,6%,6%,11%,1%,1%,2%,73%
Veterans Administration,2013,990,14%,143,54%,46%,116,55%,37%,990,0%,8%,39%,14%,0%,1%,4%,34%
Valley Village,2013,23848,25%,5969,47%,53%,7165,53%,28%,23848,0%,6%,6%,21%,0%,0%,3%,64%
Brentwood,2013,32705,23%,7541,30%,70%,6955,46%,26%,32705,0%,9%,1%,7%,0%,0%,3%,81%
Pomona,2013,151577,34%,51875,61%,39%,17773,61%,34%,151577,0%,9%,7%,68%,0%,0%,1%,13%
South Whittier,2013,53986,25%,13760,58%,42%,5038,57%,29%,53986,0%,5%,1%,75%,0%,0%,1%,18%
Pasadena,2013,140949,30%,42859,48%,52%,30634,48%,24%,140949,0%,14%,11%,33%,0%,0%,3%,39%
Winnetka,2013,53569,45%,24059,54%,46%,7595,60%,35%,53569,0%,16%,5%,50%,0%,0%,3%,26%
Palmdale,2013,155840,25%,39314,53%,47%,14749,69%,39%,155840,0%,4%,14%,56%,0%,0%,2%,24%
Porter Ranch,2013,25805,36%,9231,19%,81%,1128,49%,22%,25805,0%,27%,5%,12%,1%,1%,3%,52%
South El Monte,2013,19555,50%,9762,66%,34%,2610,60%,24%,19555,0%,12%,0%,84%,0%,0%,0%,3%
Tujunga Canyons,2013,8015,20%,1610,41%,59%,417,60%,25%,8015,0%,7%,5%,29%,0%,0%,4%,54%
Commerce,2013,13650,35%,4828,56%,44%,1849,55%,28%,13650,0%,1%,2%,94%,0%,0%,0%,3%
San Fernando,2013,23823,35%,8389,55%,45%,2703,64%,32%,23823,0%,1%,1%,88%,1%,1%,0%,8%
Sherman Oaks,2013,68289,25%,17192,38%,62%,18339,52%,29%,68289,0%,7%,4%,13%,0%,0%,4%,71%
Bradbury,2013,1302,29%,374,25%,75%,142,52%,45%,1302,0%,24%,2%,19%,0%,0%,2%,52%
Panorama City,2013,70826,54%,38081,65%,35%,11646,66%,37%,70826,0%,14%,3%,73%,0%,0%,1%,8%
Northridge,2013,63506,34%,21788,46%,54%,10571,59%,33%,63506,0%,17%,7%,34%,0%,0%,2%,40%
Culver City,2013,36079,23%,8365,34%,66%,6538,47%,27%,36079,0%,14%,8%,24%,0%,0%,4%,49%
Lakewood,2013,79746,21%,16454,35%,65%,7859,52%,23%,79746,0%,16%,7%,32%,1%,0%,4%,40%
Compton,2013,98888,31%,30293,72%,28%,10952,62%,36%,98888,0%,1%,29%,67%,0%,0%,1%,1%
Vernon,2013,422,40%,169,66%,34%,68,54%,29%,422,0%,1%,5%,86%,0%,0%,1%,6%
San Dimas,2013,35883,21%,7558,31%,69%,3330,47%,23%,35883,0%,13%,3%,31%,0%,0%,4%,49%
Inglewood,2013,112141,28%,31833,61%,39%,23855,60%,33%,112141,0%,1%,42%,51%,1%,0%,2%,3%
Charter Oak,2013,8404,17%,1469,38%,62%,973,49%,23%,8404,0%,8%,3%,47%,0%,0%,2%,39%
Paramount,2013,55162,38%,20888,65%,35%,8232,61%,33%,55162,0%,3%,11%,79%,1%,0%,1%,6%
San Pedro,2013,78301,24%,18592,53%,47%,17310,54%,28%,78301,0%,4%,6%,47%,0%,0%,3%,38%
Lincoln Heights,2013,29955,50%,14971,57%,43%,6190,66%,36%,29955,0%,25%,1%,69%,0%,0%,1%,4%
Boyle Heights,2013,89173,47%,41528,71%,29%,17453,62%,36%,89173,0%,3%,1%,94%,0%,0%,0%,2%
Historic South-Central,2013,46815,49%,23072,81%,19%,8272,71%,39%,46815,0%,1%,6%,90%,0%,0%,0%,1%
Avalon,2013,3524,31%,1091,66%,34%,893,56%,26%,3524,0%,0%,0%,67%,0%,0%,2%,31%
Westlake,2013,105348,62%,64921,76%,24%,34525,60%,31%,105348,0%,19%,4%,70%,0%,0%,1%,6%
Mission Hills,2013,18355,37%,6786,47%,53%,1581,59%,29%,18355,0%,10%,3%,65%,0%,0%,2%,19%
Quartz Hill,2013,10506,9%,916,38%,62%,915,53%,21%,10506,1%,4%,10%,27%,0%,1%,2%,56%
Marina del Rey,2013,8629,27%,2343,49%,51%,4895,46%,18%,8629,0%,9%,6%,8%,0%,1%,4%,71%
Bell,2013,35505,45%,15956,70%,30%,6682,64%,33%,35505,0%,0%,1%,93%,0%,0%,0%,6%
Long Beach,2013,463885,26%,121108,56%,44%,95470,55%,30%,463885,0%,13%,13%,41%,1%,0%,3%,29%
San Gabriel,2013,40972,56%,22905,39%,61%,6407,55%,30%,40972,0%,61%,1%,24%,0%,0%,2%,11%
Downey,2013,112546,35%,39663,47%,53%,16244,54%,26%,112546,0%,7%,4%,71%,0%,0%,1%,17%
Diamond Bar,2013,45392,43%,19659,32%,68%,2920,57%,25%,45392,0%,54%,4%,19%,0%,0%,2%,21%
La Canada Flintridge,2013,21593,26%,5570,23%,77%,1169,43%,17%,21593,0%,27%,0%,6%,0%,0%,2%,64%
West Covina,2013,109153,34%,37446,38%,62%,10704,59%,27%,109153,0%,24%,5%,55%,0%,0%,1%,14%
Redondo Beach,2013,66890,19%,12560,38%,62%,13386,45%,23%,66890,0%,13%,3%,17%,0%,0%,4%,62%
Vermont Square,2013,48254,41%,19720,73%,27%,8476,70%,45%,48254,0%,1%,28%,68%,0%,1%,1%,1%
Santa Fe Springs,2013,21796,24%,5251,46%,54%,2450,51%,25%,21796,1%,4%,4%,81%,0%,0%,1%,10%
Calabasas,2013,18980,26%,4957,28%,72%,1453,51%,28%,18980,0%,7%,3%,7%,0%,0%,4%,80%
Altadena,2013,43129,21%,9258,39%,61%,4154,54%,26%,43129,0%,6%,21%,29%,0%,0%,4%,40%
Bell Gardens,2013,42513,44%,18914,75%,25%,7472,64%,35%,42513,0%,0%,1%,97%,0%,0%,0%,2%
Sun Valley,2013,71133,49%,35049,54%,46%,9420,65%,39%,71133,0%,9%,2%,71%,0%,0%,1%,16%
Playa Vista,2013,9656,21%,2046,44%,56%,2547,58%,31%,9656,0%,25%,10%,19%,0%,0%,4%,41%
Carson,2013,91555,35%,31923,38%,62%,6184,53%,24%,91555,0%,25%,21%,40%,2%,0%,5%,6%
Hollywood Hills,2013,21403,18%,3875,39%,61%,6973,52%,32%,21403,0%,7%,5%,10%,0%,0%,4%,74%
Lancaster,2013,156437,14%,22212,51%,49%,19890,54%,30%,156437,0%,5%,18%,38%,0%,0%,2%,36%
Leona Valley,2013,2389,11%,274,40%,60%,88,58%,21%,2389,1%,5%,6%,15%,0%,0%,3%,71%
Whittier,2013,84023,20%,16485,49%,51%,11520,53%,25%,84023,0%,5%,1%,67%,0%,0%,1%,25%
Walnut,2013,29479,48%,14016,23%,77%,1076,49%,17%,29479,0%,63%,3%,18%,0%,0%,3%,13%
Castaic Canyons,2013,47124,16%,7341,38%,62%,1786,47%,26%,47124,0%,8%,6%,29%,0%,0%,6%,51%
Silver Lake,2013,29686,30%,8871,45%,55%,9485,48%,23%,29686,0%,14%,3%,31%,0%,0%,3%,48%
Whittier Narrows,2013,6776,42%,2853,39%,61%,588,62%,45%,6776,1%,28%,0%,65%,0%,0%,1%,4%
Glendale,2013,193201,55%,105850,39%,61%,44261,62%,38%,193201,0%,16%,1%,17%,0%,0%,2%,63%
West Whittier-Los Nietos,2013,23097,27%,6339,52%,48%,1827,55%,29%,23097,1%,1%,0%,87%,0%,0%,0%,10%
Atwater Village,2013,11054,41%,4519,35%,65%,2823,57%,30%,11054,0%,21%,1%,44%,1%,0%,2%,31%
East Whittier,2013,10357,14%,1499,38%,62%,1169,44%,20%,10357,0%,5%,0%,54%,0%,0%,3%,39%
El Sereno,2013,42244,38%,16076,52%,48%,5748,62%,31%,42244,0%,11%,2%,81%,0%,0%,0%,6%
Montecito Heights,2013,17729,39%,6875,49%,51%,2874,57%,29%,17729,0%,18%,5%,63%,0%,0%,1%,13%
Florence,2013,49062,41%,19979,77%,23%,8219,70%,47%,49062,0%,0%,21%,78%,0%,0%,0%,0%
Huntington Park,2013,60262,51%,30454,68%,32%,10834,63%,35%,60262,0%,1%,0%,98%,0%,0%,0%,1%
Cheviot Hills,2013,8830,21%,1873,34%,66%,1149,50%,24%,8830,0%,8%,2%,7%,0%,0%,4%,79%
Cypress Park,2013,9386,47%,4457,53%,47%,1620,54%,34%,9386,0%,7%,1%,84%,0%,0%,0%,8%
Desert View Highlands,2013,2011,24%,483,43%,57%,186,40%,20%,2011,0%,6%,10%,52%,0%,0%,1%,31%
Baldwin Park,2013,75795,46%,34586,54%,46%,6668,59%,29%,75795,0%,14%,1%,80%,0%,0%,0%,4%
